Plot,Tree_no,RECRUIT,Species,InitialDbh,RefPoint,Critx,Crity,OffsetN,OffsetE,Dist,Azimuth,AzgridN,Treex,Treey,TrtgridN,X_Offset,Y_Offset,X_Corrected,Y_Corrected,Initial_MeasNum,Initial_TreeClass,Initial_LoggingStatus,Coords_Calculation_Date,MapInfoNeeded,Comments
805,2359,0,PSME,51.1,E5,120,60,0,0,9.5,146,310,117.31,50.62,40,210,-270,159.38,-152.69,1,10,PRE,2003-04-04 00:00:00,No,
805,2359,1,TSHE,7,E5,120,60,0,0,10.5,184,310,111.48,53.81,40,210,-270,156.19,-158.52,5,11,POST,2010-05-05 00:00:00,No,
805,2359,2,TSHE,6.1,E5,120,60,0,0,9,186,310,112.51,54.95,40,210,-270,155.05,-157.49,6,11,POST,2014-06-10 00:00:00,No,
805,2360,0,TSHE,23.2,F5,120,40,0,0,8.9,303,310,118.9,48.95,40,210,-270,161.05,-151.1,1,10,PRE,2003-04-04 00:00:00,No,
805,2361,0,TSHE,12.2,F5,120,40,0,0,9,301,310,118.58,48.95,40,210,-270,161.05,-151.42,1,10,PRE,2003-04-04 00:00:00,No,
805,2362,0,PSME,44.5,E5,120,60,0,0,10.8,134,310,119.23,49,40,210,-270,161,-150.77,1,10,PRE,2003-04-04 00:00:00,No,
805,2363,0,PSME,51.5,F5,120,40,0,0,7.5,246,310,113.03,43.4,40,210,-270,166.6,-156.97,1,10,PRE,2003-04-04 00:00:00,No,
805,2364,0,TSHE,13,F5,120,40,0,0,9.5,236,310,110.81,42.64,40,210,-270,167.36,-159.19,1,10,PRE,2003-04-04 00:00:00,No,
805,2365,0,PSME,31.4,F5,120,40,0,0,9.8,208,310,110.26,37.93,40,210,-270,172.07,-159.74,1,10,PRE,2003-04-04 00:00:00,No,
805,2366,0,PSME,50.4,F5,120,40,0,0,6.8,209,310,113.08,38.65,40,210,-270,171.35,-156.92,1,10,PRE,2003-04-04 00:00:00,No,
805,2366,1,TSHE,9.2,F5,120,40,0,0,7.9,197,310,112.69,36.9,40,210,-270,173.1,-157.31,1,10,PRE,2003-04-04 00:00:00,No,
805,2366,2,TSHE,6.7,F5,120,40,0,0,7.7,224,310,112.29,40.54,40,210,-270,169.46,-157.71,5,11,POST,2010-05-05 00:00:00,No,
805,2367,0,THPL,12.7,F5,120,40,0,0,6.8,193,310,113.88,36.88,40,210,-270,173.12,-156.12,1,10,PRE,2003-04-04 00:00:00,No,
805,2368,0,THPL,26.5,F5,120,40,0,0,2.1,273,310,118.66,41.78,40,210,-270,168.22,-151.34,1,10,PRE,2003-04-04 00:00:00,No,
805,2369,0,PSME,29.9,F5,120,40,0,0,1.7,235,310,118.21,40.48,40,210,-270,169.52,-151.79,1,10,PRE,2003-04-04 00:00:00,No,
805,2370,0,PSME,52.4,F5,120,40,0,0,0.9,46,310,121.16,39.88,40,210,-270,170.12,-148.84,1,10,PRE,2003-04-04 00:00:00,No,
805,2371,0,THPL,27.9,F5,120,40,0,0,2,163,310,118.83,38.21,40,210,-270,171.79,-151.17,1,10,PRE,2003-04-04 00:00:00,No,
805,2372,0,PSME,47.1,F5,120,40,0,0,6.9,132,310,119.75,32.87,40,210,-270,177.13,-150.25,1,10,PRE,2003-04-04 00:00:00,No,
805,2372,1,TSHE,9.6,F5,120,40,0,0,10,133,310,119.47,29.97,40,210,-270,180.03,-150.53,5,11,POST,2010-05-05 00:00:00,No,
805,2373,0,PSME,46.2,F5,120,40,0,0,11.7,183,310,110.47,32.82,40,210,-270,177.18,-159.53,1,10,PRE,2003-04-04 00:00:00,No,
805,2373,1,TSHE,6.6,F5,120,40,0,0,10.9,173,310,112.54,32,40,210,-270,178,-157.46,5,11,POST,2010-05-05 00:00:00,No,
805,2374,0,PSME,50.7,F5,120,40,0,0,13.4,168,310,111.59,29.24,40,210,-270,180.76,-158.41,1,10,PRE,2003-04-04 00:00:00,No,
805,2374,1,TSHE,6.7,F5,120,40,0,0,13.5,162,310,112.83,28.52,40,210,-270,181.48,-157.17,5,11,POST,2010-05-05 00:00:00,No,
805,2375,0,PSME,44.1,F5,120,40,0,0,15.6,173,310,109.21,28.43,40,210,-270,181.57,-160.79,1,10,PRE,2003-04-04 00:00:00,No,
805,2375,1,TSH,6.8,G6,100,20,0,0,13.2,357,310,109.68,29.03,40,210,-270,180.97,-160.32,6,11,POST,2014-06-10 00:00:00,No,
805,2376,0,THPL,13.7,G5,120,20,0,0,8,267,310,114.5,25.9,40,210,-270,184.1,-155.5,1,10,PRE,2003-04-04 00:00:00,No,
805,2376,1,TSHE,5.3,2376,114.5,25.9,0,0,3.2,40,310,117.73,25.9,40,210,-270,184.1,-152.27,7,11,POST,2021-05-18 00:00:00,No,Crew stem mapped from a tree
805,2376,2,TSHE,7.5,2376,114.5,25.9,0,0,4.1,38,310,118.63,26.04,40,210,-270,183.96,-151.37,7,11,POST,2021-05-18 00:00:00,No,Crew stem mapped from a tree
805,2376,3,TSHE,8.1,2376,114.5,25.9,0,0,4.9,39,310,119.44,25.99,40,210,-270,184.01,-150.56,7,11,POST,2021-05-18 00:00:00,No,Crew stem mapped from a tree
805,2376,4,TSHE,6.4,2376,114.5,25.9,0,0,5.6,90,310,118.12,21.59,40,210,-270,188.41,-151.88,7,11,POST,2021-05-18 00:00:00,No,Crew stem mapped from a tree
805,2376,5,TSHE,6.9,2376,114.5,25.9,0,0,3.9,105,310,116.16,22.33,40,210,-270,187.67,-153.84,7,11,POST,2021-05-18 00:00:00,No,Crew stem mapped from a tree
805,2377,0,PSME,65.7,G5,120,20,0,0,8.4,205,310,111.57,17.74,40,210,-270,192.26,-158.43,1,10,PRE,2003-04-04 00:00:00,No,
805,2377,1,TSHE,9.4,G5,120,20,0,0,11.3,209,310,108.86,17.83,40,210,-270,192.17,-161.14,5,11,POST,2010-05-05 00:00:00,No,
805,2378,0,THPL,23.6,G5,120,20,0,0,6.4,190,310,114.36,16.74,40,210,-270,193.26,-155.64,1,10,PRE,2003-04-04 00:00:00,No,
805,2379,0,PSME,57.9,G5,120,20,0,0,10,171,310,113.25,12.23,40,210,-270,197.77,-156.75,1,10,PRE,2003-04-04 00:00:00,No,
805,2380,0,PSME,197.4,G5,120,20,0,0,13.1,161,310,112.74,7.93,40,210,-270,202.07,-157.26,1,21,PRE,2003-04-04 00:00:00,No,
805,2381,0,TSHE,10,G5,120,20,0,0,7.5,141,310,118.56,12.59,40,210,-270,197.41,-151.44,1,10,PRE,2003-04-04 00:00:00,No,
805,2382,0,PSME,48.9,G5,120,20,0,0,14.6,156,310,113.49,6.66,40,210,-270,203.34,-156.51,1,10,PRE,2003-04-04 00:00:00,No,
805,9000,0,PSME,27.6,H11,0,0,0,0,4.6,330,310,1.62,4.45,40,210,-270,205.55,-268.38,1,30,PRE,2003-04-04 00:00:00,No,
805,9001,0,PSME,18.3,H11,0,0,0,0,12.2,1,310,9.55,7.74,40,210,-270,202.26,-260.45,1,30,PRE,2003-04-04 00:00:00,No,
805,9002,0,PSME,28.5,G11,0,20,0,0,7.7,102,310,3.68,13.08,40,210,-270,196.92,-266.32,1,30,PRE,2003-04-04 00:00:00,No,
805,9003,0,PSME,34.4,G11,0,20,0,0,5,52,310,5.06,18.92,40,210,-270,191.08,-264.94,1,30,PRE,2003-04-04 00:00:00,No,
805,9004,0,PSME,23.6,G11,0,20,0,0,7.8,347,310,4.77,26.32,40,210,-270,183.68,-265.23,1,30,PRE,2003-04-04 00:00:00,No,
805,9005,0,PSME,24,G11,0,20,0,0,11.8,352,310,7.98,28.86,40,210,-270,181.14,-262.02,1,30,PRE,2003-04-04 00:00:00,No,
805,9006,0,PSME,21.1,F11,0,40,0,0,9,63,310,8.38,36.44,40,210,-270,173.56,-261.62,1,30,PRE,2003-04-04 00:00:00,No,
805,9007,0,TSHE,32.8,F11,0,40,0,0,4.4,49,310,4.51,39.29,40,210,-270,170.71,-265.49,1,30,PRE,2003-04-04 00:00:00,No,
805,9008,0,PSME,26.9,F11,0,40,0,0,12.6,355,310,9,49,40,210,-270,161,-261,1,30,PRE,2003-04-04 00:00:00,No,
805,9009,0,TSHE,21.2,E11,0,60,0,0,1.5,36,310,1.6,60.11,40,210,-270,149.89,-268.4,1,30,PRE,2003-04-04 00:00:00,No,
805,9010,0,PSME,28.5,E11,0,60,0,0,9.5,35,310,9.61,60.84,40,210,-270,149.16,-260.39,1,30,PRE,2003-04-04 00:00:00,No,
805,9011,0,PSME,37,E11,0,60,0,0,12.8,350,310,8.35,69.95,40,210,-270,140.05,-261.65,1,30,PRE,2003-04-04 00:00:00,No,
805,9012,0,TSHE,22.3,D11,0,80,0,0,3.1,8,310,2.72,81.7,40,210,-270,128.3,-267.28,1,30,PRE,2003-04-04 00:00:00,No,
805,9013,0,PSME,30.5,C11,0,100,0,0,7.2,95,310,4.22,93.98,40,210,-270,116.02,-265.78,1,30,PRE,2003-04-04 00:00:00,No,
805,9014,0,PSME,35.7,C11,0,100,0,0,19.9,328,310,6.2,119.1,40,210,-270,90.9,-263.8,1,30,PRE,2003-04-04 00:00:00,No,
805,9015,0,PSME,33,B10,20,120,0,0,6.9,214,310,12.97,119.26,40,210,-270,90.74,-257.03,1,30,PRE,2003-04-04 00:00:00,No,
805,9016,0,TSHE,13,B10,20,120,0,0,4.4,184,310,16.39,117.38,40,210,-270,92.62,-253.61,1,30,PRE,2003-04-04 00:00:00,No,
805,9017,0,TSHE,17.6,B10,20,120,0,0,4.4,184,310,16.37,117.36,40,210,-270,92.64,-253.63,1,30,PRE,2003-04-04 00:00:00,No,
805,9018,0,PSME,29.3,D10,20,80,0,0,11.6,288,310,15.6,90.89,40,210,-270,119.11,-254.4,1,30,PRE,2003-04-04 00:00:00,No,
805,9019,0,PSME,33,D10,20,80,0,0,6.9,241,310,13.4,82.53,40,210,-270,127.47,-256.6,1,30,PRE,2003-04-04 00:00:00,No,
805,9020,0,PSME,32.5,D10,20,80,0,0,3.7,223,310,16.14,80.2,40,210,-270,129.8,-253.86,1,30,PRE,2003-04-04 00:00:00,No,
805,9021,0,PSME,21.1,D10,20,80,0,0,5.8,173,310,15.97,75.68,40,210,-270,134.32,-254.03,1,30,PRE,2003-04-04 00:00:00,No,
805,9022,0,PSME,27.8,D10,20,80,0,0,11.4,150,310,16.05,69.16,40,210,-270,140.84,-253.95,1,23,PRE,2003-04-04 00:00:00,No,
805,9023,0,PSME,24,E10,20,60,0,0,5.1,308,310,19.82,65.22,40,210,-270,144.78,-250.18,1,30,PRE,2003-04-04 00:00:00,No,
805,9024,0,PSME,33.8,E10,20,60,0,0,5.7,197,310,14.6,57.71,40,210,-270,152.29,-255.4,1,30,PRE,2003-04-04 00:00:00,No,
805,9025,0,TSHE,23.8,F10,20,40,0,0,1.5,280,310,19.19,41.4,40,210,-270,168.6,-250.81,1,30,PRE,2003-04-04 00:00:00,No,
805,9026,0,PSME,27.5,F10,20,40,0,0,9.3,227,310,10.63,41.15,40,210,-270,168.85,-259.37,1,30,PRE,2003-04-04 00:00:00,No,
805,9027,0,PSME,27.1,G10,20,20,0,0,0.4,11,310,20.47,20.26,40,210,-270,189.74,-249.53,1,23,PRE,2003-04-04 00:00:00,No,
805,9028,0,PSME,25.8,H10,20,0,0,0,12.4,341,310,26.45,10.74,40,210,-270,199.26,-243.55,1,30,PRE,2003-04-04 00:00:00,No,
805,9029,0,PSME,35.1,G10,20,20,0,0,5.5,33,310,25.63,20.69,40,210,-270,189.31,-244.37,1,30,PRE,2003-04-04 00:00:00,No,
805,9030,0,TSHE,23.1,G10,20,20,0,0,8.6,358,310,26.48,25.83,40,210,-270,184.17,-243.52,1,30,PRE,2003-04-04 00:00:00,No,
805,9031,0,PSME,46,G10,20,20,0,0,10.6,24,310,30.41,22.99,40,210,-270,187.01,-239.59,1,30,PRE,2003-04-04 00:00:00,No,
805,9032,0,PSME,30.1,F10,20,40,0,0,2.5,322,310,20.55,42.59,40,210,-270,167.41,-249.45,1,30,PRE,2003-04-04 00:00:00,No,
805,9033,0,PSME,29.9,E10,20,60,0,0,18.1,109,310,26.54,42.96,40,210,-270,167.04,-243.46,1,30,PRE,2003-04-04 00:00:00,No,
805,9034,0,PSME,31.1,E10,20,60,0,0,13.8,98,310,27.4,48.17,40,210,-270,161.83,-242.6,1,30,PRE,2003-04-04 00:00:00,No,
